Open,Close,High,Low
11025.1,11029.6,11030.3,11024.3
11030.0,11026.3,11030.0,11024.6
11026.5,11026.6,11029.6,11025.1
11026.8,11026.7,11030.0,11024.5
11026.8,11026.8,11026.8,11026.8
11085.9,11078.3,11087.0,11076.9
11078.4,11081.8,11086.0,11078.3
11081.6,11085.1,11087.8,11080.8
11085.3,11087.5,11090.8,11078.4
11087.6,11091.1,11096.5,11087.5
11091.3,11088.3,11098.0,11085.5
11088.1,11080.8,11089.6,11077.8
11080.6,11076.0,11084.6,11074.9
11075.8,11076.8,11081.5,11073.1
11076.6,11074.9,11080.4,11074.5
11074.8,11076.6,11077.3,11072.0
11076.1,11081.3,11081.9,11075.8
11081.4,11087.1,11089.8,11073.8
11086.6,11078.3,11087.0,11076.5
11078.1,11077.8,11082.0,11072.8
11077.9,11069.8,11081.0,11069.0
11069.9,11066.8,11070.5,11061.5
11066.8,11068.5,11069.8,11064.5
11068.6,11066.5,11069.3,11064.6
11066.6,11068.0,11073.8,11066.5
11067.9,11072.8,11073.0,11066.3
11072.4,11071.6,11074.4,11067.5
11071.5,11075.9,11078.1,11070.3
11076.3,11071.0,11076.5,11067.9
11070.6,11082.8,11083.1,11068.6
11082.6,11081.4,11084.0,11079.1
11081.6,11083.8,11086.6,11079.4
11083.8,11082.1,11086.6,11080.4
11082.5,11084.0,11086.0,11080.3
11083.9,11083.1,11084.9,11081.5
11083.4,11095.8,11103.3,11082.0
11095.8,11100.4,11106.1,11095.5
11100.5,11094.3,11101.0,11092.1
11095.3,11091.6,11100.6,11089.9
11091.3,11090.1,11091.9,11087.3
11090.3,11091.0,11093.5,11089.6
11091.3,11076.4,11092.3,11076.4
11076.3,11073.6,11077.8,11067.1
11073.6,11075.4,11077.8,11071.3
11075.3,11084.0,11084.4,11074.5
11083.8,11093.4,11099.4,11083.4
11093.5,11104.3,11105.0,11092.4
11104.4,11111.9,11116.5,11096.1
11112.3,11104.5,11114.9,11104.0
11104.4,11108.9,11112.9,11103.4
11109.0,11103.4,11114.5,11100.9
11103.3,11106.8,11106.9,11099.4
11107.0,11095.3,11111.6,11092.6
11095.5,11102.9,11104.5,11091.1
11102.8,11098.8,11104.5,11096.3
11098.9,11097.8,11104.3,11092.4
11097.6,11107.4,11109.3,11093.1
11107.3,11120.4,11125.3,11101.8
11120.6,11119.5,11123.9,11114.0
11120.3,11140.4,11164.6,11120.3
11140.3,11141.1,11150.4,11115.4
11141.4,11162.6,11166.3,11117.4
11162.8,11196.4,11198.4,11162.8
11196.5,11216.4,11228.4,11193.4
11216.6,11230.9,11231.6,11206.5
11231.1,11243.4,11245.0,11224.9
11243.0,11231.9,11243.1,11219.6
11232.6,11211.8,11241.5,11208.1
11211.9,11218.6,11232.4,11207.6
11218.8,11217.6,11232.9,11201.5
11217.0,11221.6,11231.1,11207.9
11221.9,11250.9,11255.1,11221.9
11250.5,11266.4,11269.9,11248.4
11266.8,11268.9,11272.4,11254.6
11268.9,11281.8,11285.1,11268.0
11281.6,11281.0,11284.5,11274.0
11281.4,11256.1,11283.3,11253.9
11256.1,11272.6,11272.9,11255.3
11272.4,11288.4,11291.1,11269.6
11288.6,11297.9,11299.5,11284.9
11297.8,11288.5,11306.4,11286.4
11288.4,11293.0,11295.5,11283.0
11292.8,11294.4,11300.1,11290.8
11295.0,11280.5,11302.4,11280.5
11280.3,11276.8,11292.5,11275.1
11277.1,11279.6,11282.1,11271.9
11279.5,11282.3,11286.0,11272.8
11282.3,11294.3,11298.4,11279.1
11294.1,11291.1,11294.6,11279.9
11291.4,11286.3,11292.1,11279.0
11286.1,11280.1,11289.1,11275.3
11279.9,11287.4,11291.3,11279.4
11287.5,11275.9,11289.4,11271.3
11275.5,11287.0,11287.1,11275.1
11286.8,11290.5,11294.8,11282.6
11290.5,11282.1,11293.6,11280.8
11282.3,11263.9,11283.8,11262.1
11262.7,11252.0,11263.8,11251.3
11252.3,11261.2,11268.0,11251.8
11261.3,11270.5,11271.8,11258.6
11270.2,11274.5,11277.3,11265.6
11274.6,11265.7,11282.8,11265.5
11266.3,11266.0,11273.1,11260.2
11265.7,11272.0,11275.0,11256.6
11271.8,11276.7,11279.7,11267.5
11276.8,11284.3,11287.2,11274.7
11284.2,11279.0,11284.2,11273.5
11279.7,11262.5,11280.1,11261.2
11262.3,11244.0,11262.5,11233.7
11243.8,11208.7,11243.8,11204.5
11208.8,11198.6,11208.8,11184.0
11198.7,11198.0,11202.5,11188.1
11197.0,11202.5,11207.0,11189.0
11202.6,11216.3,11224.0,11200.8
