Open,Close,High,Low,ATR,MACD,Signal Line,Trade
11961.7,11948.2,11965.9,11943.4,12.442857142856935,24.6,34.19,SELL
12169.5,12182.6,12185.9,12166.9,26.814285714285557,-51.4,-21.22,SELL
12181.0,12180.0,12186.8,12170.5,25.79999999999979,-49.61,-28.36,SELL
12039.2,12068.5,12068.5,12029.8,27.56428571428569,16.19,2.32,BUY
12185.6,12187.0,12190.7,12185.6,20.94999999999995,-21.12,6.76,SELL
12115.5,12151.9,12153.6,12112.9,27.878571428571636,-1.76,3.17,SELL
12228.6,12230.3,12249.3,12226.6,38.349999999999845,-41.84,-23.49,SELL
12512.4,12501.4,12521.1,12490.2,28.34285714285722,-89.57,-46.63,SELL
12528.4,12517.3,12532.4,12515.2,19.63571428571439,-14.32,-25.15,BUY
12538.2,12542.5,12564.2,12533.2,24.457142857142962,-16.61,1.99,SELL
12543.0,12526.8,12549.0,12519.3,24.071428571428573,-16.05,-14.34,SELL
12625.5,12627.5,12635.3,12622.3,17.80000000000044,1.38,-4.22,BUY
12659.9,12664.8,12668.2,12654.6,14.300000000000182,-10.94,1.82,SELL
12564.0,12567.1,12572.5,12558.6,47.62857142857125,77.69,24.77,BUY
12573.1,12568.3,12575.0,12566.6,30.299999999999923,102.28,77.08,BUY
12568.9,12579.6,12582.0,12568.9,18.692857142857196,108.3,98.0,BUY
12689.4,12684.4,12692.3,12680.5,20.428571428571427,59.02,95.58,SELL
12684.3,12667.8,12684.3,12667.1,20.671428571428546,46.23,89.36,SELL
12748.3,12718.2,12750.6,12715.6,48.33571428571434,31.55,24.82,BUY
12648.6,12678.2,12678.7,12648.6,19.592857142857092,-12.21,-21.98,BUY
12629.0,12640.6,12643.3,12629.0,27.13571428571426,10.31,3.96,BUY
12640.3,12684.9,12704.8,12639.8,29.599999999999973,13.05,4.84,BUY
12677.0,12668.3,12689.1,12662.1,24.49999999999974,-16.29,6.05,SELL
12704.6,12679.1,12704.8,12678.3,24.19999999999956,-10.87,-2.72,SELL
12679.3,12676.1,12684.1,12672.0,23.164285714285402,-10.28,-5.25,SELL
12725.1,12715.1,12728.6,12707.1,20.63571428571439,31.1,-11.89,BUY
12714.4,12702.9,12715.4,12690.5,20.807142857142935,33.3,-7.1,BUY
12675.1,12669.9,12682.1,12664.4,17.52142857142878,27.86,21.52,BUY
12701.6,12705.4,12712.9,12697.5,14.800000000000182,-6.88,20.43,SELL
12597.6,12584.7,12601.7,12583.3,16.942857142857065,15.47,3.02,BUY
12715.0,12714.6,12716.8,12712.2,12.142857142857142,-43.16,-1.76,SELL
13027.7,13046.8,13046.8,13024.2,19.071428571428573,-19.77,-8.78,SELL
13046.7,13054.3,13059.3,13045.5,18.807142857142804,-19.54,-10.12,SELL
13107.9,13114.7,13118.6,13103.2,21.621428571428883,13.48,7.97,BUY
13114.6,13118.4,13129.3,13114.3,21.307142857143067,15.75,6.26,BUY
13089.7,13096.9,13100.8,13089.4,18.42857142857156,24.8,13.7,BUY
12926.8,12931.2,12940.8,12924.7,18.235714285714234,38.27,6.39,BUY
13013.1,13035.5,13041.7,13013.1,18.32142857142831,-30.75,-13.21,SELL
13035.9,13026.0,13038.5,13022.2,18.528571428571013,-32.9,-17.67,SELL
13025.6,13024.1,13029.9,13021.2,16.79999999999953,-35.37,-22.28,SELL
12944.5,12931.5,12944.7,12925.1,11.421428571428676,22.9,-19.17,BUY
12931.7,12915.0,12937.1,12907.0,12.714285714285845,21.15,-14.0,BUY
12990.7,12992.7,12999.1,12987.7,17.064285714285557,-8.92,-5.08,SELL
12964.4,12952.2,12966.7,12950.2,16.942857142857196,16.06,5.34,BUY
